Use Case:,As a user I would be able to show what languages and skills I know. So that the people seeking for skills and languages can look at what details I hold.,,,,,,,
,,,,,,,,
Test ID,Test scenario,Test cases,PreCondition,Test Steps,Test Data,Expected Result,Status,Actual Result
TS_001,Validate user authentication,TC_101: Enter valid email and password,Application is accessed,1. Sign in,email address that is registered ,Login successful,PASS,Login successful
,,,,2. Enter email,corresponding password,"""Hi Firstname"" displayed on homepage",,Hi Firstname displayed on homepage
,,,,3. Enter password,,,,
,,,,,,,,
,,"TC_102: Enter a valid email, invalid password",Application is accessed,1. Click Sign in,enter valid email,"""Confirm your email message"" displays",PASS,Confirm your email message displays
,,,,2. Enter email,invalid password,,,
,,,,3. Enter password,,,,
,,,,,,,,
,,"TC_103: Omit email, enter password",Application is accessed,1. Click Sign in,leave email section blank,"Prompt saying ""Enter a valid email address""",PASS,"Displays ""Enter a valid email address"""
,,,,2. Enter password,enter password,,,
,,,,,,,,
,,"TC_104: Enter email address, omit password",Application is accessed,1. Click Sign in,Enter email,"Prompt saying ""Password must be atleast 6 characters",PASS,"Displays ""Password must be 6 characters long"""
,,,,2. Enter email,leave password section blank,,,
,,,,3. Enter password,,,,
,,,,,,,,
TS_002,"Verify adding, editing, deleting new ",TC_201: Add a valid language and skill level,User Logged in,1. Click on Profile,Language: English,New field added under languages,PASS,English language and level added
,language,,,2 Click Language,Language level: Fluent,,,
,,,,"3. Click ""Add New"" ",,,,
,,,,4. Add language ,,,,
,,,,5. Choose an experience from the drop-down menu,,,,
,,,,6. Click Add,,,,
,,,,,,,,
,,TC_202: Add an invalid entry,User logged in,1. Click on Profile,Language: #24##,Notify invalid entry,FAIL,Invalid Entry added
,,,,2 Click Language,Language level: Basic,,,
,,,,"3. Click ""Add New"" ",,,,
,,,,4. Add language ,,,,
,,,,5. Choose language level from the drop-down menu,,,,
,,,,6. Click Add,,,,
,,,,,,,,
,,"TC_203: Add language, leave skill level blank",User logged in,2. Click on Profile,Language: French,"Notify ""Please enter language and level""",PASS,"Notified ""Please enter language and level"""
,,,,3 Click Language,,,,
,,,,"4. Click ""Add New""",,,,
,,,,5. Add language ,,,,
,,,,6. Click Add,,,,
,,,,,,,,
,,"TC_204: Leave language field blank, add skill",User logged in,1. Click on Profile,Language level: Basis,"Notify ""Please enter language and level""",PASS,"Notified ""Please enter language and level"""
,,,,2 Click Language,,,,
,,,,"3. Click ""Add New""",,,,
,,,,4. Choose language level,,,,
,,,,5. Click Add,,,,
,,,,,,,,
,,TC_205: Edit an existing language entry,Language exists in user profile,1. Click on edit button,Language: Germen,"Notify ""Germen has been added to your languages""",PASS,"Notified ""Germen has been added to your languages"" "
,,,,2. Clear language entry,Language level: Basic,,,
,,,,3. Add new language,,,,
,,,,4. Add language level,,,,
,,,,5. Click Update,,,,
,,,,,,,,
,,TC_206: Delete an existing entry,Language exists in user profile ,1. Click on delete button,Delete english language,"Notify ""English language has been added""",PASS,"Notified ""English language has been added"" "
,,,,,,,,
,,,,,,,,
,,TC_207: Try adding an existing language,Language to add already exists ,1. Click on Profile,Language: English,"Notify ""This language already exists in your language list""",PASS,"Notified ""This language already exists in your language list"""
,,,,2 Click Language,Language level: Fluent,,,
,,,,"3. Click ""Add New"" ",,,,
,,,,4. Add language ,,,,
,,,,5. Choose an experience from the drop-down menu,,,,
,,,,6. Click Add,,,,
,,,,,,,,
